count,hour,minute,second,msec,x1,y1,z1,x2,y2,z2,x3,y3,z3,q1,q2,q3,pos1,pos2,pos3,vel1,vel2,vel3
1,17,51,40,696,-0.298715,0.250721,1.32629,-0.425015,0.0400121,1.37208,-0.469762,-0.150079,1.29557,50.877,-59.7648,-10.1647,59.9819,45.0021,0.000686646,-3.75526,0.322723,0.0295258
2,17,51,40,747,-0.296183,0.260181,1.34899,-0.423073,0.0485615,1.3905,-0.473042,-0.140071,1.31289,74.389,-50.4135,-20.3276,59.5878,45.0776,0.063858,-11.8996,3.95851,3.60695
3,17,51,40,765,-0.296183,0.260181,1.34899,-0.423073,0.0485615,1.3905,-0.473042,-0.140071,1.31289,88,-45,-1,59.3571,45.1655,0.138016,-10.3285,5.89828,5.63599
4,17,51,40,796,-0.296183,0.260181,1.34899,-0.423073,0.0485615,1.3905,-0.473042,-0.140071,1.31289,88,-45,-1,59.0446,45.3921,0.368729,-4.32037,8.62564,9.76616
5,17,51,40,829,-0.295801,0.262561,1.36392,-0.421989,0.0521405,1.4088,-0.471815,-0.133399,1.32562,88,-45,-1,59.0089,45.6935,0.713425,1.01143,8.45741,11.9298
6,17,51,40,864,-0.295801,0.262561,1.36392,-0.421989,0.0521405,1.4088,-0.471815,-0.133399,1.32562,88,-45,-1,59.138,45.9544,1.07529,7.29355,6.18874,10.253
7,17,51,40,896,-0.295604,0.265111,1.38241,-0.421361,0.0530127,1.43127,-0.4742,-0.134641,1.35061,88,-45,-1,59.4381,46.1137,1.36848,12.2031,2.80014,6.06102
8,17,51,40,931,-0.295604,0.265111,1.38241,-0.421361,0.0530127,1.43127,-0.4742,-0.134641,1.35061,88,-45,-1,59.9393,46.1707,1.51268,18.9521,0.398254,2.52274
9,17,51,40,967,-0.294939,0.265121,1.38281,-0.418159,0.0529618,1.43518,-0.465155,-0.13643,1.35608,88,-45,-1,60.7565,46.1666,1.56555,25.0694,-0.138702,0.392761
10,17,51,40,998,-0.294939,0.265121,1.38281,-0.418159,0.0529618,1.43518,-0.465155,-0.13643,1.35608,88,-45,-1,61.5832,46.1577,1.56693,29.6157,-0.624847,-0
11,17,51,41,28,-0.295636,0.265088,1.38716,-0.417796,0.0523889,1.4409,-0.46683,-0.138957,1.36742,88,-45,-1,62.539,46.1337,1.56761,34.6227,-1.2236,-0
12,17,51,41,76,-0.295636,0.265088,1.38716,-0.417796,0.0523889,1.4409,-0.46683,-0.138957,1.36742,88,-45,-1,64.4238,46.043,1.55869,43.1227,-2.30644,-0.685272
13,17,51,41,95,-0.298161,0.267999,1.38796,-0.421153,0.0549925,1.43848,-0.471865,-0.140967,1.37979,88,-45,-1,65.2972,45.9936,1.54633,46.5566,-2.45888,-0.862427
14,17,51,41,131,-0.298161,0.267999,1.38796,-0.421153,0.0549925,1.43848,-0.471865,-0.140967,1.37979,88,-45,-1,67.0049,45.9077,1.51131,46.6315,-2.27348,-1.07529
15,17,51,41,162,-0.298161,0.267999,1.38796,-0.421153,0.0549925,1.43848,-0.471865,-0.140967,1.37979,88,-45,-1,68.3913,45.8439,1.48521,43.2518,-2.09702,-0.799942
16,17,51,41,196,-0.29836,0.268053,1.38823,-0.421506,0.0551899,1.43909,-0.472654,-0.140825,1.3809,88,-45,-1,69.8559,45.7649,1.455,39.7334,-2.06612,-0.889206
17,17,51,41,231,-0.29836,0.268053,1.38823,-0.421506,0.0551899,1.43909,-0.472654,-0.140825,1.3809,88,-45,-1,71.2031,45.6969,1.43097,36.9491,-1.78734,-0.671539
18,17,51,41,261,-0.30217,0.26613,1.39182,-0.433449,0.0577616,1.44421,-0.495196,-0.131532,1.3734,88,-45,-1,72.2578,45.6448,1.41243,34.4408,-1.58203,-0.64476
19,17,51,41,290,-0.30217,0.26613,1.39182,-0.433449,0.0577616,1.44421,-0.495196,-0.131532,1.3734,88,-45,-1,73.2335,45.6015,1.39595,32.571,-1.46049,-0.598755
20,17,51,41,330,-0.30217,0.26613,1.39182,-0.433449,0.0577616,1.44421,-0.495196,-0.131532,1.3734,88,-45,-1,74.4379,45.5404,1.36986,30.4266,-1.39595,-0.53833
21,17,51,41,368,-0.300476,0.265028,1.39265,-0.439325,0.0627439,1.4458,-0.519227,-0.113763,1.36299,88,-45,-1,75.5708,45.4889,1.35063,27.6498,-1.25519,-0.559616
22,17,51,41,397,-0.300476,0.265028,1.39265,-0.439325,0.0627439,1.4458,-0.519227,-0.113763,1.36299,88,-45,-1,76.3742,45.4552,1.33278,25.2541,-1.09657,-0.576782
23,17,51,41,431,-0.299812,0.264767,1.39087,-0.44567,0.0697977,1.44881,-0.54017,-0.0977123,1.36432,88,-45,-1,77.2153,45.4161,1.31218,23.8156,-1.08215,-0.511551
24,17,51,41,463,-0.298252,0.26662,1.39212,-0.460588,0.0847585,1.45271,-0.560656,-0.0842064,1.37599,88,-45,-1,77.935,45.3852,1.29845,21.882,-1.03065,-0.432587
25,17,51,41,495,-0.298252,0.26662,1.39212,-0.460588,0.0847585,1.45271,-0.560656,-0.0842064,1.37599,88,-45,-1,78.5625,45.3516,1.2854,20.655,-0.957184,-0.503998
26,17,51,41,528,-0.298252,0.26662,1.39212,-0.460588,0.0847585,1.45271,-0.560656,-0.0842064,1.37599,88,-45,-1,79.2808,45.3227,1.26961,19.2281,-0.791702,-0.464172
27,17,51,41,562,-0.297481,0.27088,1.39759,-0.475532,0.10185,1.44526,-0.592341,-0.0605176,1.38161,88,-45,-1,79.9125,45.298,1.25175,17.5987,-0.725098,-0.433273
28,17,51,41,596,-0.297481,0.27088,1.39759,-0.475532,0.10185,1.44526,-0.592341,-0.0605176,1.38161,88,-45,-1,80.4886,45.2733,1.23802,16.6196,-0.6633,-0.381088
29,17,51,41,631,-0.291072,0.272995,1.39828,-0.48054,0.119273,1.44684,-0.614302,-0.0273045,1.38189,88,-46.3934,-33.4644,80.9912,45.2506,1.22498,15.6191,-0.615234,-0.420227
30,17,51,41,664,-0.291072,0.272995,1.39828,-0.48054,0.119273,1.44684,-0.614302,-0.0273045,1.38189,88,-48.298,-31.9,81.5144,45.2328,1.21262,14.8082,-0.493698,-0.31517
31,17,51,41,694,-0.291072,0.272995,1.39828,-0.48054,0.119273,1.44684,-0.614302,-0.0273045,1.38189,88,-50.0385,-30.8948,81.9402,45.2184,1.203,13.6361,-0.372162,-0.237579
32,17,51,41,730,-0.289502,0.271542,1.40044,-0.481231,0.120525,1.44189,-0.611997,-0.0275994,1.37762,88,-51.2804,-30.3183,82.4071,45.2094,1.19888,12.4029,-0.175095,-0.0762177
33,17,51,41,763,-0.289502,0.271542,1.40044,-0.481231,0.120525,1.44189,-0.611997,-0.0275994,1.37762,88,-52.0587,-29.9277,82.7785,45.2046,1.19751,11.5109,-0.0219727,-0.0652313
34,17,51,41,799,-0.28859,0.268164,1.40266,-0.480895,0.1188,1.43944,-0.612986,-0.0267165,1.37544,88,-52.4913,-29.5713,83.1905,45.2101,1.1982,10.3896,0.617981,0.120163
35,17,51,41,829,-0.28859,0.268164,1.40266,-0.480895,0.1188,1.43944,-0.612986,-0.0267165,1.37544,88,-52.6987,-29.1764,83.5181,45.2479,1.23253,9.91035,2.78435,3.04733
36,17,51,41,862,-0.288179,0.268121,1.39272,-0.482485,0.122327,1.42921,-0.609714,-0.0280876,1.36842,88,-52.837,-28.8182,83.8353,45.388,1.37466,8.70392,6.55815,6.33774
37,17,51,41,909,-0.288179,0.268121,1.39272,-0.482485,0.122327,1.42921,-0.609714,-0.0280876,1.36842,88,-53.0354,-28.6129,84.204,45.8322,1.86562,8.45741,12.5162,14.4196
38,17,51,41,930,-0.290486,0.266809,1.38599,-0.483692,0.121213,1.42105,-0.60232,-0.0329243,1.35576,88,-53.2579,-28.6906,84.351,46.1007,2.19452,8.07152,14.2163,17.4655
39,17,51,41,964,-0.290486,0.266809,1.38599,-0.483692,0.121213,1.42105,-0.60232,-0.0329243,1.35576,88,-53.41,-29.1525,84.6243,46.6253,2.93404,7.62794,15.1192,24.1335
40,17,51,41,996,-0.291496,0.266314,1.38705,-0.483911,0.119349,1.41962,-0.600786,-0.034378,1.35069,88,-53.4533,-29.8198,84.8591,47.1046,3.77174,7.08344,14.9689,29.4022
41,17,51,42,30,-0.291496,0.266314,1.38705,-0.483911,0.119349,1.41962,-0.600786,-0.034378,1.35069,88,-53.3823,-30.4469,85.0905,47.6003,4.82231,6.74904,14.3495,33.5571
42,17,51,42,61,-0.291486,0.266336,1.38704,-0.483884,0.119285,1.41933,-0.600617,-0.0343949,1.35005,88,-53.2528,-30.9179,85.2985,48.0418,5.90378,5.92094,13.4452,35.1583
43,17,51,42,99,-0.291486,0.266336,1.38704,-0.483884,0.119285,1.41933,-0.600617,-0.0343949,1.35005,88,-53.1307,-31.202,85.5038,48.5376,7.23656,5.24734,12.4523,34.9097
44,17,51,42,127,-0.291486,0.266336,1.38704,-0.483884,0.119285,1.41933,-0.600617,-0.0343949,1.35005,88,-53.043,-31.3348,85.6288,48.8857,8.24181,5.29404,11.3949,36.1224
45,17,51,42,164,-0.292344,0.268065,1.38851,-0.488213,0.121474,1.41744,-0.605093,-0.0330487,1.34523,88,-53.0263,-31.3821,85.8176,49.2833,9.54025,4.8127,10.2983,34.2046
